"Index","Count","Hash","Size","Format","Levels","Png","Dds"
"133","3","0x1AD02521FC63E257","64x64","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_133.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_1AD02521FC63E257_64x64_DXT1.dds"
"134","3","0xEE910406C42E688D","128x64","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_134.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_EE910406C42E688D_128x64_DXT1.dds"
"135","3","0x423648FF301EB601","64x128","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_135.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_423648FF301EB601_64x128_DXT1.dds"
"136","3","0x1A1D6FBB79D5DF43","64x128","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_136.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_1A1D6FBB79D5DF43_64x128_DXT1.dds"
"137","3","0xEE1967E5345D2B45","128x32","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_137.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_EE1967E5345D2B45_128x32_DXT1.dds"
"138","3","0x2164293A60D148AC","8x8","A8R8G8B8","1","re_docs\hud_pause_candidate_png_2100\cand_138.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_2164293A60D148AC_8x8_A8R8G8B8.dds"
"139","3","0x1033DD63527D8C67","128x128","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_139.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_1033DD63527D8C67_128x128_DXT1.dds"
"140","3","0xC79E7D016338E746","128x128","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_140.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_C79E7D016338E746_128x128_DXT1.dds"
"141","3","0xA46C307BB6FFCB19","1024x512","DXT1","1","re_docs\hud_pause_candidate_png_2100\cand_141.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_A46C307BB6FFCB19_1024x512_DXT1.dds"
"142","3","0xA057271C9071C99D","8x8","DXT1","4","re_docs\hud_pause_candidate_png_2100\cand_142.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_A057271C9071C99D_8x8_DXT1.dds"
"143","3","0x13EFE16FBCBF1E27","32x32","DXT1","6","re_docs\hud_pause_candidate_png_2100\cand_143.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_13EFE16FBCBF1E27_32x32_DXT1.dds"
"144","3","0x18C8793A40912D5C","128x128","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_144.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_18C8793A40912D5C_128x128_DXT1.dds"
"145","3","0x790716CCF75EBC73","128x128","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_145.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_790716CCF75EBC73_128x128_DXT1.dds"
"146","3","0x5228965D08E7C261","128x128","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_146.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_5228965D08E7C261_128x128_DXT1.dds"
"147","3","0xD754FF7BB83BF112","64x64","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_147.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_D754FF7BB83BF112_64x64_DXT1.dds"
